game_title,number_owners,rating,number_owners_rated,difficulty,percent_difficulty_votes,game_length,votes_game_length,number_completed_users,completion_rate,system
Drakengard 2,1050,3.43,420,Just Right,62.72,37.5,160,295,59,PS2
Drakengard,1687,3.68,777,Just Right-Tough,52.83,39.2,283,548,61,PS2
Torneko Adventures 3: Mysterious Dungeon,16,3.69,8,Just Right-Tough,NA,60,2,3,33,PS2
Dragon Quest V: Tenkuu no Hanayome,216,4.07,114,Just Right,75.76,60.9,44,63,58,PS2
Dragon Quest VIII: Journey of the Cursed King,6989,4.3,4053,Just Right-Tough,65.11,76.1,1453,2538,56,PS2
Dragon Quest: Shounen Yangus to Fushigi no Dungeon,52,3.93,30,Just Right-Tough,54.55,55.9,19,22,81,PS2
Dual Hearts,323,3.66,98,Just Right,43,25.5,24,57,44,PS2
Duel Savior Destiny,12,3.31,8,Just Right,NA,28,5,6,NA,PS2
Elminage: Yami no Miko to Kamigami no Yubiwa,10,3.42,6,Tough,NA,60,2,2,NA,PS2
Endonesia,16,3.38,12,Tough,33.33,58.6,7,8,NA,PS2
Ephemeral Fantasia,549,3.03,211,Just Right-Tough,49.47,46.4,41,79,NA,PS2
Eternal Quest,98,2.88,44,Tough,42.86,35.7,19,21,46,PS2
Eternal Ring,541,3.09,158,Just Right-Tough,51.72,33.7,50,80,NA,PS2
Evergrace,572,2.88,186,Just Right-Tough,44.9,34.3,41,66,NA,PS2
Forever Kingdom,197,2.88,61,Just Right-Tough,43.24,29.4,16,22,31,PS2
EverQuest Online Adventures,131,3.28,34,Just Right-Tough,53.85,NA,5,8,NA,PS2
EverQuest Online Adventures: Frontiers,70,3.67,27,Just Right-Tough,41.67,78.1,10,13,52,PS2
Falling Stars,59,1.9,26,Easy,56.25,25.2,9,11,38,PS2
Fallout: Brotherhood of Steel,309,2.94,123,Just Right,54.24,21.5,33,59,46,PS2
Final Fantasy X,19444,4.37,12668,Just Right,69.64,69.9,5381,10977,79,PS2
Final Fantasy X-2,11604,3.63,6331,Just Right,65.62,58.4,2163,4623,62,PS2
Final Fantasy X-2: International + Last Mission,435,4,184,Just Right,57.61,65.9,65,131,59,PS2
Final Fantasy XI,943,3.71,309,Just Right-Tough,47,78.1,65,134,32,PS2
Final Fantasy XI: Adoulin no Makyou,25,3.38,8,Easy-Just Right,25,38,3,5,71,PS2
Final Fantasy XI: Treasures of Aht Urhgan,252,3.67,64,Just Right-Tough,42.31,75.2,20,41,41,PS2
Final Fantasy XI: All in One Pack 2004,34,3.4,10,Just Right-Tough,NA,58,4,6,NA,PS2
Final Fantasy XI: Zilart no Genei,68,3.5,10,Tough,75,64,3,11,NA,PS2
Final Fantasy XI: Wings of the Goddess,226,3.67,60,Just Right-Tough,44.44,73.6,16,36,38,PS2
Final Fantasy XI: Chains of Promathia,339,3.72,96,Tough,37.14,75.4,26,56,41,PS2
Final Fantasy XI: Vana'diel Collection 2008,122,3.54,25,Tough,NA,71.2,9,19,46,PS2
Final Fantasy XI: Vana'diel Collection 2010,55,3.39,14,Tough,NA,71.4,7,11,NA,PS2
Final Fantasy XII,17252,4.05,10799,Just Right,64,75.7,3313,6825,56,PS2
Final Fantasy XII International  Zodiac Job System,787,4.16,507,Just Right,21,78.3,186,255,54,PS2
Fullmetal Alchemist 2: Curse of the Crimson Elixir,581,3.63,210,Just Right,69,22.9,65,198,68,PS2
Fullmetal Alchemist 3: Kami o Tsugu Shoujo,53,3.68,20,Just Right,88.89,21.5,8,12,NA,PS2
Fullmetal Alchemist and the Broken Angel,635,3.42,240,Just Right,68.6,20,67,185,58,PS2
Magic Pengel: The Quest for Color,220,3.66,73,Just Right,52.63,29.9,22,43,48,PS2
Gauntlet: Seven Sorrows,462,3.12,190,Easy-Just Right,59.18,13.4,62,134,59,PS2
Gegege no Kitarou: Ibun Youkai Kitan,6,2.38,4,Tough,NA,6.8,3,3,75,PS2
Suikoden III,2826,4.03,1362,Just Right,75,60.5,495,1085,69,PS2
Suikoden IV,2592,3.57,1233,Just Right,67.13,50.6,502,1012,71,PS2
Suikoden V,2751,4.21,1535,Just Right,NA,66.1,589,1201,71,PS2
GetBackers Dakkanya: Ubawareta Mugenjou,13,3.57,7,Just Right-Tough,NA,23,4,4,67,PS2
Graffiti Kingdom,195,3.68,70,Easy-Just Right,54.29,21.3,18,35,47,PS2
Grandia II,1756,3.85,770,Just Right,74,48.1,334,660,NA,PS2
Grandia III,1696,3.69,747,Just Right,67,51.1,272,528,59,PS2
Grandia Xtreme,749,3.38,267,Just Right,71.64,59.1,87,179,51,PS2
MS Saga: A New Dawn,463,3.97,219,Just Right-Tough,53,75.5,55,102,46,PS2
The Hajimete no RPG,3,4,1,Just Right,100,40,1,1,100,PS2
Harukanaru Toki no Naka de 3: Izayoiki,4,4.25,2,Tough,100,12,1,2,100,PS2
Harukanaru Toki no Naka de: Maihitoyo,17,3.56,9,Just Right,37.5,24,6,6,NA,PS2
Harukanaru Toki no Naka de: Yumenoukihashi Special,5,3.5,2,Easy-Just Right,NA,16,2,2,NA,PS2
Houshin Engi 2,21,3.88,12,Just Right-Tough,NA,50.3,6,6,43,PS2
Inuyasha: The Secret of the Cursed Mask,452,3.47,193,Just Right,64.21,36,54,140,57,PS2
Jade Cocoon 2,623,3.71,223,Just Right,71,55.4,68,130,47,PS2
Justice League Heroes,351,3.65,175,Just Right,63.64,18.2,56,126,63,PS2
"Juuni Kokuki: Kakukakutaru Oudou, Kouryoku no Uka",7,4.5,1,Easy,100,8,1,1,100,PS2
Kidou Shinsengumi: Moeyo Ken,9,2.5,1,Just Right,100,20,1,1,100,PS2
King's Field: The Ancient City,378,3.53,170,Just Right-Tough,51.69,39.8,63,94,61,PS2
Kingdom Hearts,14186,4.31,9040,Just Right,86,49.8,3531,7834,79,PS2
Kingdom Hearts II,13339,4.43,8597,Just Right,88,53.7,3436,7906,84,PS2
Kingdom Hearts Re:Chain of Memories,3744,3.81,2094,Just Right-Tough,52.75,37.7,685,1260,52,PS2
Legaia 2: Duel Saga,1293,3.75,580,Just Right,68.23,53.9,198,430,63,PS2
The Legend of Alon D'ar,162,2.32,51,Tough,37.5,34,8,12,22,PS2
Lilie no Atelier Plus: Salberg no Renkinjutsushi 3,21,3.75,8,Easy-Just Right,NA,58,5,5,71,PS2
Lilie no Atelier: Salberg no Renkinjutsushi 3,15,3.57,7,Easy,NA,67.5,4,4,NA,PS2
The Lord of the Rings: The Two Towers,1201,3.52,501,Just Right,62.2,16.5,173,389,62,PS2
The Lord of the Rings: The Third Age,918,3.63,446,Just Right,41,38.4,148,303,59,PS2
The Lord of the Rings: The Return of the King,1088,3.73,466,Just Right,65.65,18.2,160,385,68,PS2
Lunatic Dawn Tempest,16,3.5,8,Just Right,NA,41,4,4,67,PS2
The Magician's Academy,10,4,2,NA,NA,NA,NA,2,50,PS2
Magna Carta: Tears of Blood,968,3.17,369,Just Right-Tough,57,51,66,121,25,PS2
Mana Khemia 2: Fall of Alchemy,947,4.07,490,Just Right,72.45,56.4,183,318,58,PS2
Mana Khemia: Alchemists of Al-Revis,1423,4.15,707,Just Right,74,55.7,249,500,62,PS2
Marvel: Ultimate Alliance,1038,3.83,507,Just Right,72.22,28.8,182,418,69,PS2
Marvel: Ultimate Alliance 2,347,3.19,169,Just Right,63.86,20,47,97,51,PS2
Mega Man X: Command Mission,901,3.75,420,Just Right,82,39,145,287,NA,PS2
Men at Work! 3,21,3.34,16,Just Right,78.57,28.5,15,15,94,PS2
Metal Saga,442,3.65,179,Just Right-Tough,66.36,56.6,63,83,41,PS2
Might and Magic: Day of the Destroyer,17,3.42,6,Just Right-Tough,NA,36.4,5,5,83,PS2
Monster Hunter,835,4.07,447,Tough,63.24,74.1,104,217,45,PS2
Monster Hunter 2,221,4.18,137,Tough,51.39,73.2,55,73,54,PS2
Monster Hunter G,59,3.63,30,Just Right,53.85,76.9,9,13,41,PS2
Monster Lab,52,3.66,22,Just Right,63.64,42.9,7,10,43,PS2
Musashi: Samurai Legend,1039,3.55,438,Just Right,63.49,29.1,140,275,53,PS2
The Nightmare of Druaga,284,3.6,82,Tough-Unforgiving,43.18,56.7,15,21,22,PS2
Nishikaze no Kyoushikyouku: The Rhapsody of Zephyr,22,3.88,13,Just Right-Tough,66.67,48.8,8,8,57,PS2
Nobunaga's Ambition Online,9,2.75,2,NA,NA,NA,NA,NA,NA,PS2
Nuga-Cel!,37,3.93,29,Just Right-Tough,54.17,60.2,19,20,69,PS2
Odin Sphere,2668,4.05,1159,Just Right-Tough,54.97,46.3,269,555,39,PS2
Orphen: Scion of Sorcery,544,2.84,183,Just Right,55.56,21.5,53,101,43,PS2
Shin Megami Tensei: Persona 3,2676,4.35,1594,Just Right-Tough,57.48,73.9,579,1133,67,PS2
Shin Megami Tensei: Persona 3 FES,7919,4.45,5217,Just Right-Tough,53.31,78.7,1985,3192,59,PS2
Shin Megami Tensei: Persona 4,8863,4.55,6236,Just Right-Tough,65.49,75.8,2689,4009,66,PS2
Phantasy Star Universe,862,3.7,358,Just Right,66.12,52,100,222,49,PS2
Phantasy Star Universe: Ambition of the Illuminus,392,3.72,163,Just Right,65.75,56.9,45,97,48,PS2
Steambot Chronicles,639,3.91,260,Just Right,73.6,50.1,77,152,NA,PS2
PoPoLoCrois: Hajimari no Bouken,27,2.5,13,Just Right-Tough,37.5,32,5,7,58,PS2
PoPoLoCrois: Tsuki no Okite no Bouken,22,3.56,9,Tough,42.86,40,5,7,NA,PS2
Pride of the Dragon Peace,19,3.35,10,Just Right-Tough,NA,50,3,3,33,PS2
Radiata Stories,2191,3.91,1077,Just Right,75.26,56.2,407,789,63,PS2
Rogue Galaxy,3032,4.06,1527,Just Right,73,66.5,484,883,NA,PS2
Rogue Hearts Dungeon,30,3.69,16,Tough,66.67,54.5,11,11,79,PS2
Romancing SaGa,971,3.71,381,Tough,45,67.8,102,177,NA,PS2
RPG Maker 3,399,3.3,165,Just Right-Tough,44.71,78.6,34,43,21,PS2
RPG Maker II,312,3.17,114,Tough,47,75,14,16,11,PS2
Sagashi ni Ikouyo,6,3,2,Easy-Just Right,50,40,1,1,33,PS2
Sega Ages 2500 Series Vol. 1: Phantasy Star Generation:1,92,3.9,52,Just Right-Tough,55.56,58,25,30,NA,PS2
Sega Ages 2500 Series Vol. 17: Phantasy Star Generation:2,80,3.83,50,Tough,66.67,76.3,24,27,66,PS2
Shadow Hearts,2160,4.13,1041,Just Right,75.87,44.7,412,868,69,PS2
Shadow Hearts: Covenant,2360,4.26,1178,Just Right,78.65,57.2,467,962,72,PS2
Shadow Hearts: From the New World,1741,3.79,739,Just Right,75.63,51.9,231,486,54,PS2
Shadow Tower: Abyss,79,3.63,45,Just Right-Tough,NA,20,18,22,69,PS2
Shin Megami Tensei: Nocturne,4037,4.37,2222,Tough,93,73.3,791,1203,NA,PS2
Shining Force EXA,696,3.81,280,Just Right-Tough,67.11,53.1,87,176,53,PS2
Shining Force Neo,616,3.36,216,Just Right,55,49.9,58,129,47,PS2
Shining Tears,553,3.38,202,Just Right,65,43.3,46,100,41,PS2
Shining Wind,59,3.42,25,Just Right-Tough,61.54,48,5,11,46,PS2
Spectral Souls,35,3.23,15,Tough,NA,NA,7,7,44,PS2
Shinki Gensou: Spectral Souls II,28,3.29,17,Tough,NA,NA,4,5,38,PS2
Shinseiki Yuusha Taisen,12,3.42,6,Tough-Unforgiving,66.67,40,2,3,NA,PS2
Ururun Quest: Koiyuuki,10,3.25,2,Just Right-Tough,50,20,1,1,100,PS2
Spectral Force Chronicle,25,3.36,14,Just Right,62.5,30.3,7,9,69,PS2
Spectral Force: Radical Elements,37,3.67,27,Just Right-Tough,45.45,46.8,18,18,75,PS2
Spectral Gene,40,3.62,30,Just Right-Tough,43.48,62.4,17,19,66,PS2
Star Ocean 3: Till the End of Time,251,3.92,149,Just Right-Tough,58.72,72.2,74,102,68,PS2
Star Ocean: Till the End of Time,5271,4.03,2867,Just Right-Tough,59.28,72.6,930,1953,58,PS2
Summon Night EX-Thesis: Yoake no Tsubasa,52,3.77,32,Just Right,42.11,50.7,15,22,71,PS2
Summon Night Gran-These: Horobi no Tsurugi to Yakusoku no Kishi,38,3.88,26,Just Right-Tough,47,55.3,15,16,64,PS2
Summoner,802,3.37,259,Just Right,68.7,46.6,68,135,39,PS2
Summoner 2,581,3.62,181,Just Right-Tough,38,39.8,62,112,48,PS2
Sunrise World War,20,3.06,9,Just Right,NA,20.8,5,6,67,PS2
Tales of Destiny,286,4.11,151,Just Right,63.64,61.6,50,97,58,PS2
Tales of Destiny 2,342,3.85,156,Just Right-Tough,62,61.2,51,102,NA,PS2
Tales of Destiny: Director's Cut,300,3.78,195,Just Right-Tough,69.88,71.1,56,104,64,PS2
Tales of Legendia,2178,3.71,1038,Just Right,73.7,59.3,348,771,61,PS2
Tales of Rebirth,327,4.14,161,Just Right-Tough,56.98,66,57,99,59,PS2
Tales of Symphonia,368,4.09,195,Just Right,75.25,72.7,64,133,62,PS2
Tales of the Abyss,4021,4.33,2495,Just Right,58,68.8,923,1923,71,PS2
Tengai Makyou II: Manji Maru,17,3.5,10,Just Right-Tough,44.44,70.1,9,9,NA,PS2
Tensai Bit-Kun: Gramon Battle,16,2.96,14,Tough,55.56,55.3,8,8,89,PS2
Tenshi no Present: Marl Oukoku Monogatari,50,3.78,34,Just Right-Tough,65,53.3,15,15,54,PS2
Tir Na Nog: Yuukyuu no Jin,23,2.08,19,Tough,NA,26.4,5,5,38,PS2
Tsugunai: Atonement,228,3.45,76,Just Right-Tough,48.65,44.4,18,37,42,PS2
Unlimited Saga,1109,2.6,407,Tough-Unforgiving,52.75,62,51,95,19,PS2
Valkyrie Profile 2: Silmeria,2967,4.09,1427,Just Right-Tough,54.72,65.2,433,831,NA,PS2
Viorate no Atelier: Gramnad no Renkinjutsushi 2,28,3.75,10,Just Right,85.71,53.3,3,4,NA,PS2
Virtua Quest,106,3.45,42,Just Right-Tough,48.15,32.2,10,15,NA,PS2
Wild Arms 3,2274,3.87,960,Just Right,77.57,58.9,295,611,NA,PS2
Wild Arms 4,1440,3.7,583,Just Right,72.7,45.7,211,450,61,PS2
Wild ARMs 5,1335,3.97,592,Just Right,76.32,62.5,197,397,56,PS2
Wild Arms Alter Code: F,980,4,406,Just Right,77,58.8,132,275,56,PS2
Wizardry Empire III: Haoh no Keifu,8,3.5,1,Unforgiving,100,NA,NA,NA,NA,PS2
Wizardry Summoner,8,3.75,2,Just Right-Tough,50,40,1,1,50,PS2
Wizardry X 2: Mugen no Gakuto,11,3.88,4,Just Right-Tough,50,12,1,1,33,PS2
Wizardry X: Zensen no Gakufu,9,3,2,Tough,100,NA,NA,NA,NA,PS2
Wizardry Gaiden: Sentou no Kangoku - Prisoners of the Battles,13,2.72,9,Tough,57.14,6.9,7,8,NA,PS2
X-Men Legends,1062,3.73,460,Just Right,75.2,23.5,155,364,65,PS2
X-Men Legends II: Rise of Apocalypse,959,3.76,408,Just Right,76,25.9,129,330,67,PS2
Xenosaga Episode I: Der Wille zur Macht,4343,3.98,2130,Just Right,66.86,54.2,722,1708,67,PS2
Xenosaga Episode II: Jenseits von Gut und Bose,3398,3.67,1476,Just Right-Tough,57.24,49.6,538,1192,67,PS2
Xenosaga Episode III: Also sprach Zarathustra,2810,4.22,1366,Just Right,76.28,57.2,535,1136,75,PS2
Ys III: Wanderers from Ys,67,3.7,33,Just Right-Tough,61.11,53.1,11,18,64,PS2
Ys IV: Mask of the Sun - A New Theory,45,3.41,16,Tough,NA,21,4,7,64,PS2
"Ys V: Lost Kefin, Kingdom of Sand",61,3.76,36,Just Right-Tough,57.89,51.1,15,17,61,PS2
Ys: The Ark of Napishtim,823,3.71,323,Just Right-Tough,69.14,27.4,103,242,NA,PS2
Zill O'll Infinite,26,3.73,15,Just Right-Tough,54.55,43.8,10,11,73,PS2
Zwei!!,17,3.1,5,Tough,33.33,NA,NA,NA,NA,PS2
