game_title,number_owners,rating,number_owners_rated,difficulty,percent_difficulty_votes,game_length,votes_game_length,number_completed_users,completion_rate,system
RockMan Dash 2,54,4.31,29,Easy-Just Right,47.62,30,10,14,52,PSP
Saigo no Yakusoku no Monogatari,37,3.26,21,Just Right-Tough,72.73,32,5,5,26,PSP
Sekai wa Atashi de Mawatteru: Hikari to Yami no Princess,9,3.63,4,Easy-Just Right,50,60,1,1,33,PSP
Senritsu no Stratus,40,3.92,24,Just Right,66.67,40,9,11,69,PSP
Shin Ken to Mahou to Gakuen Mono.: Toki no Gakuen,22,3.9,10,Just Right,66.67,30,2,2,22,PSP
Shin Megami Tensei: Devil Summoner,115,3.54,66,Just Right-Tough,41.67,62.7,36,40,56,PSP
Shining Ark,88,3.8,49,Just Right-Tough,51.35,51,18,23,53,PSP
Shining Blade,108,3.89,62,Just Right,65.12,43.7,24,36,73,PSP
Shining Hearts,109,3.84,56,Just Right,71.43,47.1,16,23,44,PSP
White Knight Chronicles: Origins,263,3.54,137,Just Right,68,36.3,29,45,NA,PSP
Silverfall,79,3.2,33,Just Right,71.43,17,4,9,26,PSP
Sol Trigger,87,3.99,55,Just Right,74.36,35.3,22,25,54,PSP
Star Ocean: First Departure,2646,4.02,1343,Just Right,75.54,41.2,431,805,NA,PSP
Star Ocean: Second Evolution,2106,4.24,1007,Just Right,75.44,55.2,329,613,52,PSP
Sword Art Online: Infinity Moment,204,4,143,Just Right,65.91,55.3,32,36,31,PSP
Tales of Destiny 2,188,4.01,103,Just Right-Tough,61.4,56.3,39,67,63,PSP
Tales of Eternia,994,4.03,509,Just Right,77.3,54.1,190,323,55,PSP
Tales of Phantasia: Full Voice Edition,169,3.99,88,Just Right-Tough,68,63.7,33,56,NA,PSP
Tales of Phantasia: Narikiri Dungeon X,230,4.09,137,Just Right,82.76,56.5,56,78,56,PSP
Tales of Rebirth,225,4.11,138,Just Right-Tough,58.21,60,38,71,54,PSP
Tales of the World: Radiant Mythology,1653,3.73,895,Just Right,69.19,47,226,488,47,PSP
Tales of the World: Radiant Mythology 2,361,4.15,242,Just Right,69.66,55.7,53,118,48,PSP
Tales of the World: Radiant Mythology 3,343,4.2,241,Just Right,72.3,60.4,91,127,57,PSP
Tegami Bachi: Kokoro Tsumugu Mono e,11,3.13,4,Just Right,NA,26,2,2,NA,PSP
Tenchi no Mon 2: Busouden,22,3.68,11,Just Right-Tough,57.14,20,2,2,22,PSP
Tengai Makyou: Dai Yon no Mokushiroku,11,3.5,4,NA,NA,NA,NA,1,33,PSP
Tir Na Nog: Yuukyuu no Jin,19,1.32,14,Tough-Unforgiving,NA,21,4,4,NA,PSP
To Heart 2: Dungeon Travelers,33,3.82,14,Just Right,25,40.5,4,5,36,PSP
Toriko: Gourmet Survival!,30,3.5,17,Just Right-Tough,57.14,23,10,10,59,PSP
UnchainBlades EXXiV,36,3.88,25,Just Right-Tough,36.36,60.6,13,14,61,PSP
Unchained Blades,249,3.93,164,Just Right-Tough,57.66,66.2,52,68,47,PSP
Untold Legends: Brotherhood of the Blade,585,3.44,250,Just Right,65.57,30.3,59,121,39,PSP
